"LICENCE_NO","PREMISE_NAME","PREMISE_ADDRESS","CATEGORY","SUB_CATEGORY","CURRENCY","LAST_UPDATED","EASTING","NORTHING","LONGITUDE","LATITUDE"
"50049","Secret Buddha Cafe","63 West Park Grove, PARK GROVE, 7320","Special","Restaurant","2016/02/22","Wednesday 08 May 2019",406913,5454853,145.892293870462,-41.0522379762298
"50074","Hearth Pizza & Small Plates","37 Montpelier Retreat, BATTERY POINT, 7004","Special","Restaurant","2017/11/30","Wednesday 08 May 2019",526992,5251486,147.330560371197,-42.8887519302655
"50076","Tiger Ranch Vineyards","116 Allisons Road, LOWER BARRINGTON, 7306","Special","Wholesaler","2005/11/22","Wednesday 08 May 2019",440826,5426738,146.293092452898,-41.3086496766213
"50080","Tacos Mexican Restaurant","Suite 1, Ground Floor, City Mill Building, 11 - 13 Morrison Street, HOBART, 7000","On-Restaurant",NA,"2018/04/01","Wednesday 08 May 2019",527072,5252016,147.331514525614,-42.8839763842603
"50090","Third Child Wines","134 Mt Rumney Road, MOUNT RUMNEY, 7170","Special","Online / Internet","2006/01/19","Wednesday 08 May 2019",535245,5255261,147.431392315191,-42.8544214849818
"50107","AquaGrill Seafood Cafe","3419 Main Road, FRANKLIN, 7113","On-Restaurant",NA,"2015/08/31","Wednesday 08 May 2019",500789,5229038,147.009694367512,-43.0913753482327
"50118","Devonport City Soccer Club","34-44 Lovett Street, DEVONPORT, 7310","Club",NA,"2015/08/19","Wednesday 08 May 2019",444372,5440408,146.336697490134,-41.1857729820647
"50126","Charlemont","2862 Lyell Highway, HAYES, 7140","Special","Wholesaler","2009/10/29","Wednesday 08 May 2019",496468,5269118,146.956855143661,-42.7304379618143
"50127","Basin Cafe","Cataract Gorge Cliff Grounds, 74-90 Basin Road, WEST LAUNCESTON, 7250","On-Restaurant",NA,"2008/05/02","Wednesday 08 May 2019",509750,5410937,147.116734344503,-41.4530908095455
"50130","Mountain Mumma","60-62 Main Road, SHEFFIELD, 7306","Special","Restaurant","2014/02/23","Wednesday 08 May 2019",443592,5418538,146.325371604363,-41.382705838049
"50143","15 Tables","13-15 Murray Street, EAST DEVONPORT, 7310","Special","Restaurant","2017/04/05","Wednesday 08 May 2019",447111,5441089,146.369413945237,-41.1798223945504
"50165","The Pickled Frog","281 Liverpool Street, HOBART, 7000","General","Hotel","2018/03/20","Wednesday 08 May 2019",526271,5251820,147.321715076036,-42.8857693713861
"50203","The Red Velvet Lounge","24 Mary Street, CYGNET, 7112","On-Restaurant",NA,"2016/09/22","Wednesday 08 May 2019",506263,5221274,147.077040534709,-43.1612637966489
"50216","Dannebrog Cafe Bar & Grill","161 Rooke Street, DEVONPORT, 7310","On-Restaurant",NA,"2008/05/02","Wednesday 08 May 2019",446395,5441417,146.360906430346,-41.1768209150228
"50231","Handle Bar","33 Frederick Street, LAUNCESTON, 7250","Special","Other","2012/07/25","Wednesday 08 May 2019",511627,5412144,147.139183906725,-41.4421937462276
"50258","Awu Delicious Food","Shop 1, 15 Hunter Street, HOBART, 7000","On-Restaurant",NA,"2010/12/15","Wednesday 08 May 2019",527326,5252346,147.334608812255,-42.8809956453354
"50306","Bruny Island House of Whisky","360 Lennon Road, NORTH BRUNY, 7150","General","Tavern","2014/11/21","Wednesday 08 May 2019",526297,5222530,147.323414727915,-43.1495225727617
"50335","Bentley's Wildside Vineyard","67 East Shelley Road, ORFORD, 7190","Special","Wine Producer - Grape","2005/11/09","Wednesday 08 May 2019",573768,5286706,147.898769737934,-42.5685299218082
"50351","Jackson's Emporium","8 Arthur Street, HAMILTON, 7140","Special","Restaurant","2017/07/01","Wednesday 08 May 2019",486465,5288579,146.835128031184,-42.5550684382024
"50365","Bryher Food","91 George Street, LAUNCESTON, 7250","Special","Restaurant","2015/11/30","Wednesday 08 May 2019",511796,5412744,147.141195243297,-41.436786767746
"50376","Huon Valley Vineyard","3883 Huon Highway, FRANKLIN, 7113","Special","Wine Producer - Grape","2013/06/05","Wednesday 08 May 2019",499133,5225133,146.989341154128,-43.1265394693703
"50379","Norfolk Bay Vineyard","414 Nubeena Road, KOONYA, 7187","Special","Wine Producer - Grape","2013/04/29","Wednesday 08 May 2019",567381,5232047,147.827496959979,-43.0612880201958
"50413","Salamanca Fresh Lenah Valley","116 Augusta Road, LENAH VALLEY, 7008","Special","Other","2017/02/23","Wednesday 08 May 2019",524164,5254030,147.29581799828,-42.8659375502158
"50534","Cafe Culture Trevallyn","1-3 Osbourne Avenue, TREVALLYN, 7250","On-Restaurant",NA,"2015/07/30","Wednesday 08 May 2019",509962,5412929,147.119239710606,-41.4351452210601
"50618","St Imre Vineyard","6900 Huon Highway, DOVER, 7117","Special","Wine Producer - Grape","2007/12/17","Wednesday 08 May 2019",500825,5205084,147.010172466229,-43.3070757092727
"50652","UTAS Accommodation Services (Pepperz Cafe) - Hobart Campus","20 College Road, SANDY BAY, 7005","Special","Other","2017/10/17","Wednesday 08 May 2019",526326,5249618,147.322491905936,-42.9055967345329
"50756","Rendezvous Cafe","Shop 4, Salamanca Square, BATTERY POINT, 7004","Special","Restaurant","2014/07/01","Wednesday 08 May 2019",527144,5251615,147.332415586849,-42.8875848806845
"50766","Bishops Vineyard","86 Acton Road, ACTON PARK, 7170","Special","Wine Producer - Grape","2017/06/26","Wednesday 08 May 2019",539085,5250376,147.478731608654,-42.8982240427884
"50773","Rocky Glen","1 Lovers Lane, NARACOOPA, 7256","On-Restaurant",NA,"2008/05/02","Wednesday 08 May 2019",253903,5576614,144.120312730391,-39.9248388130935
"50810","Kelvedon","12371 Tasman Highway, SWANSEA, 7190","Special","Wine Producer - Grape","2005/10/19","Wednesday 08 May 2019",588588,5331209,148.072465437879,-42.1662442867781
"50851","Bark Mill Tavern","96 Tasman Highway, SWANSEA, 7190","General","Tavern","2008/06/02","Wednesday 08 May 2019",588348,5336247,148.068797069799,-42.120904871723
"50865","Eagle Hawk Fine Wine Cellar","381 Elizabeth Street, NORTH HOBART, 7000","Off",NA,"2014/07/04","Wednesday 08 May 2019",525706,5253351,147.314726103399,-42.8720017263844
"50973","Settler's Restaurant","144 Emu Bay Road, DELORAINE, 7304","Special","Other","2017/04/01","Wednesday 08 May 2019",470107,5403431,146.641729233221,-41.5202020968649
"51030","Pressing Matters","665 Middle Tea Tree Road, TEA TREE, 7017","Special","Wine Producer - Grape","2010/09/09","Wednesday 08 May 2019",529789,5271087,147.363777958175,-42.7121365230177
"51130","Dainty Legend Chinese Kitchen","4a Yorktown Square, LAUNCESTON, 7250","On",NA,"2018/03/06","Wednesday 08 May 2019",511729,5412896,147.1403903217,-41.4354186049997
"51183","Star & Garter Bottleshop","87 High Street, NEW NORFOLK, 7140","Off",NA,"2018/02/26","Wednesday 08 May 2019",505398,5263585,147.065991661258,-42.7802543780471
"51215","Queenstown RSL Sub-Branch","14-16 Cutten Street, QUEENSTOWN, 7467","Club",NA,"2017/08/08","Wednesday 08 May 2019",380475,5340287,145.554963967247,-42.0803978612253
"51261","The Yolla Tavern","1610 Murchison Highway, YOLLA, 7325","General","Tavern","2012/09/17","Wednesday 08 May 2019",392081,5446340,145.714343375087,-41.1270732222953
"51336","Strahan Village","41 The Esplanade, STRAHAN, 7468","General","Hotel","2018/05/18","Wednesday 08 May 2019",362181,5332075,145.331939220652,-42.1513302764416
"51379","Quest Launceston","16 Paterson Street, LAUNCESTON, 7250","Special","Other","2014/04/01","Wednesday 08 May 2019",511589,5412879,147.138714921786,-41.4355737656338
"51484","Milton Vineyard","14635 Tasman Highway, SWANSEA, 7190","Special","Wine Producer - Grape","2016/12/21","Wednesday 08 May 2019",587285,5346766,148.054370360482,-42.0263001054816
"51516","Sapa Rose","79-81 Harrington Street, HOBART, 7000","Special","Restaurant","2010/10/19","Wednesday 08 May 2019",526565,5251950,147.325309197086,-42.8845885315202
"51580","Indian Chilli Club","18 Cole Street, SORELL, 7172","Special","Other","2016/07/15","Wednesday 08 May 2019",546177,5263242,147.564538209993,-42.781970757435
"51692","Observatory","Upper Level, Murray Street Pier, Lot 1 Franklin Wharf, HOBART, 7000","On",NA,"2012/11/28","Wednesday 08 May 2019",527119,5251858,147.332097693986,-42.8853975254396
"51740","Ghost Rock Vineyard","1055 Port Sorell Main Road, NORTHDOWN, 7307","Special","Wine Producer/Restaurant","2017/07/04","Wednesday 08 May 2019",458431,5441805,146.504423396746,-41.1740327813113
"51845","The Moonah Hotel","99 Main Road, MOONAH, 7009","General","Tavern","2018/01/17","Wednesday 08 May 2019",524136,5256178,147.295383017195,-42.8465952707397
"51911","Freycinet Lodge","Freycinet National Park, 2898 Freycinet Drive, COLES BAY, 7215","General","Hotel","2017/08/31","Wednesday 08 May 2019",607592,5334316,148.301905987436,-42.135887522346
"51916","BWS (Aberfeldy)","124 Davey Street, HOBART, 7000","Off",NA,"2017/01/23","Wednesday 08 May 2019",526409,5251369,147.323426217321,-42.8898259211713
"51917","BWS (New Norfolk)","79 High Street, NEW NORFOLK, 7140","Off",NA,"2016/11/18","Wednesday 08 May 2019",505334,5263547,147.065209607684,-42.7805970326304
"51918","BWS (Regent)","26 North Terrace, BURNIE, 7320","Off",NA,"2015/04/22","Wednesday 08 May 2019",407763,5455262,145.902468045235,-41.0486510864365
"51919","BWS (Invermay)","321 Invermay Road, INVERMAY, 7248","Off",NA,"2018/02/15","Wednesday 08 May 2019",511007,5415670,147.131697867645,-41.4104418780985
"51921","BWS (Upper Burnie)","195 Mount Street, BURNIE, 7320","Off",NA,"2018/06/04","Wednesday 08 May 2019",407761,5452900,145.902090520876,-41.0699241875764
"51922","BWS (Launceston)","50 Wellington Street, LAUNCESTON, 7250","Off",NA,"2018/06/26","Wednesday 08 May 2019",511457,5412284,147.13714622986,-41.4409351374088
"51987","The Happy Chef","3 William Street, LONGFORD, 7301","On",NA,"2008/05/02","Wednesday 08 May 2019",510114,5395170,147.121357485667,-41.5951059205293
"52054","Maldinis Italian Cafe Restaurant","47 Salamanca Place, BATTERY POINT, 7004","On-Restaurant",NA,"2008/05/02","Wednesday 08 May 2019",527156,5251690,147.332558912839,-42.8869090701573
"52059","Lions Club of Kings Meadows","18 Merino Street, KINGS MEADOWS, 7249","Special","Other","2009/09/28","Wednesday 08 May 2019",513461,5408354,147.161222707683,-41.4763034497864
"52166","Adams Store","26 Mellifont Street, WEST HOBART, 7000","Special","Other","2006/07/03","Wednesday 08 May 2019",525081,5252846,147.307096701172,-42.8765701104793
"52260","Hellyers Road Distillery","153 Old Surrey Road, BURNIE, 7320","Special","Other","2011/01/21","Wednesday 08 May 2019",408395,5450899,145.909337730701,-41.0880178014362
"52293","BWS (Kingston)","Kingston Town Shopping Centre, 37-59 Maranoa Road, KINGSTON, 7050","Off",NA,"2014/10/16","Wednesday 08 May 2019",525219,5241660,147.309289917461,-42.9772963324678
"52302","Solstice Cafe Restaurant","29 Salamanca Place, BATTERY POINT, 7004","On-Restaurant",NA,"2018/01/24","Wednesday 08 May 2019",527045,5251703,147.331198976062,-42.886795943986
"52304","Winter Brook Vineyard","150 Hjorts Road, LOIRA, 7275","Special","Wine Producer - Grape","2010/08/17","Wednesday 08 May 2019",490868,5432189,146.890984691655,-41.2616672484755
"52353","Lotus Garden","1640 Channel Highway, MARGATE, 7054","Special","Other","2016/03/10","Wednesday 08 May 2019",521526,5236789,147.26418672985,-43.0212730866365
"52379","BWS (Wynyard)","1 Inglis Street, WYNYARD, 7325","Off",NA,"2018/06/04","Wednesday 08 May 2019",392761,5461613,145.725101439427,-40.989616100001
"52426","MountainView Meadery","42 Ruth Drive, LENAH VALLEY, 7008","Special","Online / Internet","2007/09/23","Wednesday 08 May 2019",523195,5253559,147.283974994882,-42.8702090281019
"52584","Roaring Grill","301 Elizabeth Street, NORTH HOBART, 7000","On",NA,"2013/04/16","Wednesday 08 May 2019",525908,5253085,147.317211479276,-42.8743902720094
"52622","Touchwood Cafe & Restaurant","31 Church Street, STANLEY, 7331","Special","Restaurant/Accommodation","2015/10/23","Wednesday 08 May 2019",356146,5486423,145.295709648124,-40.7605815510511
"52623","Epsom House","333 Brighton Road, PONTVILLE, 7030","Special","Other","2006/08/07","Wednesday 08 May 2019",521649,5273976,147.264264604559,-42.6863922923984
"52750","Kenroy Estate","18427 Tasman Highway, BICHENO, 7215","Special","Wine Producer - Grape","2018/06/27","Wednesday 08 May 2019",604256,5367960,148.255581290191,-41.8333905342355
"52768","Club Hotel Bottle Shop Burnie","22 Mount Street, BURNIE, 7320","Off",NA,"2011/06/24","Wednesday 08 May 2019",407956,5455011,145.904726666886,-41.0509335669713
"52836","Cugini Restaurant","34 Cambridge Road, BELLERIVE, 7018","Special","Restaurant","2012/01/25","Wednesday 08 May 2019",529980,5253029,147.367070150211,-42.8747455727572
"52927","Devonport Golf Club","66 Woodrising Avenue, SPREYTON, 7310","On",NA,"2011/02/21","Wednesday 08 May 2019",446001,5437239,146.355840500869,-41.2144275144658
"52986","Poseidon Restaurant","50 King Street, SANDY BAY, 7005","On-Restaurant",NA,"2016/09/06","Wednesday 08 May 2019",526610,5250826,147.325913534811,-42.8947087181466
"53044","Huon's Little Treasure Bistro","3422 Huon Highway, FRANKLIN, 7113","Special","Restaurant","2008/01/31","Wednesday 08 May 2019",500733,5229056,147.009006277128,-43.0912133154195
"53186","SK's Indian Restaurant","159 Rooke Street, DEVONPORT, 7310","On-Restaurant",NA,"2018/04/09","Wednesday 08 May 2019",446403,5441406,146.361000839925,-41.176920525598
"53209","Penghana Bed and Breakfast","32 Esplanade, QUEENSTOWN, 7467","Special","Other","2016/01/15","Wednesday 08 May 2019",380200,5340583,145.551700907678,-42.0776908708428
"53270","Ivory Lounge Bar","Basement, 121 Collins Street, HOBART, 7000","On",NA,"2017/02/10","Wednesday 08 May 2019",526651,5252044,147.326357855735,-42.8837390523867
