"Hospital","State","Services"
"Albury Wodonga Health [Albury Campus]","NSW","Coronary care unit"
"Albury Wodonga Health [Albury Campus]","NSW","Emergency department"
"Albury Wodonga Health [Albury Campus]","NSW","Intensive care unit"
"Albury Wodonga Health [Albury Campus]","NSW","Oncology unit"
"Albury Wodonga Health [Albury Campus]","NSW","Paediatric service"
"Albury Wodonga Health [Albury Campus]","NSW","Psychiatric unit"
"Armidale Hospital","NSW","Domiciliary care unit"
"Armidale Hospital","NSW","Emergency department"
"Armidale Hospital","NSW","Geriatric assessment unit"
"Armidale Hospital","NSW","Hospice care unit"
"Armidale Hospital","NSW","Intensive care unit"
"Armidale Hospital","NSW","Maintenance renal dialysis unit"
"Armidale Hospital","NSW","Obstetric services"
"Armidale Hospital","NSW","Oncology unit"
"Armidale Hospital","NSW","Paediatric service"
"Armidale Hospital","NSW","Psychiatric unit"
"Armidale Hospital","NSW","Rehabilitation unit"
"Auburn Hospital","NSW","Coronary care unit"
"Auburn Hospital","NSW","Domiciliary care unit"
"Auburn Hospital","NSW","Emergency department"
"Auburn Hospital","NSW","Maintenance renal dialysis unit"
"Auburn Hospital","NSW","Obstetric services"
"Ballina Hospital","NSW","Emergency department"
"Ballina Hospital","NSW","Geriatric assessment unit"
"Ballina Hospital","NSW","Maintenance renal dialysis unit"
"Ballina Hospital","NSW","Oncology unit"
"Ballina Hospital","NSW","Paediatric service"
"Ballina Hospital","NSW","Rehabilitation unit"
"Balmain Hospital","NSW","Geriatric assessment unit"
"Balmain Hospital","NSW","Rehabilitation unit"
"Balranald Multi Purpose Service","NSW","Alcohol and drug unit"
"Balranald Multi Purpose Service","NSW","Domiciliary care unit"
"Balranald Multi Purpose Service","NSW","Emergency department"
"Balranald Multi Purpose Service","NSW","Geriatric assessment unit"
"Balranald Multi Purpose Service","NSW","Hospice care unit"
"Balranald Multi Purpose Service","NSW","Nursing home care unit"
"Bankstown Lidcombe Hospital","NSW","Alcohol and drug unit"
"Bankstown Lidcombe Hospital","NSW","Coronary care unit"
"Bankstown Lidcombe Hospital","NSW","Diabetes unit"
"Bankstown Lidcombe Hospital","NSW","Emergency department"
"Bankstown Lidcombe Hospital","NSW","Epilepsy centre"
"Bankstown Lidcombe Hospital","NSW","Geriatric assessment unit"
"Bankstown Lidcombe Hospital","NSW","Infectious diseases unit"
"Bankstown Lidcombe Hospital","NSW","Intensive care unit"
"Bankstown Lidcombe Hospital","NSW","Maintenance renal dialysis unit"
"Bankstown Lidcombe Hospital","NSW","Obstetric services"
"Bankstown Lidcombe Hospital","NSW","Oncology unit"
"Bankstown Lidcombe Hospital","NSW","Paediatric service"
"Bankstown Lidcombe Hospital","NSW","Psychiatric unit"
