"Hospital name","Phone number","Street address","Suburb","Postcode","State","Local Hospital Network (LHN)","Primary Health Network area (PHN)","Website","Description","Sector","Beds","Latitude","Longitude"
"Abbotsford Private Hospital","08 9200 6282","61 Cambridge Street","West Leederville","6007","WA","","","www.abbotsfordhospital.com.au","","Private","<50","-31.940992000000001","115.837344"
"Adelaide Clinic","08 8269 8100","33 Park Terrace","Gilberton","5081","SA","","","www.adelaideclinic.com.au/","","Private","50-99","-34.906579999999998","138.613167"
"Adelaide Day Surgery Pty Ltd","08 8239 4900","18 North Terrace","Adelaide","5000","SA","","","http://www.curagroup.com.au/adelaide-day-surgery","","Private","<50","-34.922409000000002","138.58881700000001"
"Adelaide Eye & Laser Centre","08 8274 7000","215 Greenhill Road","Eastwood","5063","SA","","","www.aelc.com.au","","Private","","-34.940420000000003","138.6215"
"Adelaide Surgicentre","08 8211 0000","89 King William Street","Kent Town","5067","SA","","","www.asec.net.au","","Private","<50","-34.917690999999998","138.62102200000001"
"Aesthetic Day Surgery","02 9553 9905","14 Kensington Street","Kogarah","2217","NSW","","","www.aestheticdaysurgery.com.au","","Private","","-33.964843000000002","151.135032"
"Albany Hospital","08 9892 2222","Warden Avenue","Albany","6330","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=4","Medium regional hospital with an emergency department","Public","100-199","-35.003407000000003","117.90446799999999"
"Albert Road Clinic","03 9256 8311","31 Albert Road","Melbourne","3004","Vic","","","www.albertroadclinic.com.au/","","Private","50-99","-37.834246","144.972151"
"Albury Wodonga Health [Albury Campus]","02 6058 4444","201 Borella Road","Albury","2640","NSW","Albury Wodonga Health","Murray","","Large regional hospital with an emergency department","Public","100-199","-36.078400999999999","146.93914599999999"
"Albury Wodonga Health [Wodonga Campus]","02 6051 7111","69 Vermont Street","Wodonga","3690","Vic","Albury Wodonga Health","Murray","","Medium regional hospital with an emergency department","Public","100-199","-36.131791","146.87941699999999"
"Albury Wodonga Private Hospital","02 6041 1411","1125 Pemberton Street","West Albury","2640","NSW","","","www.alburywodongaprivate.com.au","","Private","100-199","-36.075620999999998","146.88317699999999"
"Alexandra District Hospital","03 5772 0900","12 Cooper Street","Alexandra","3714","Vic","Alexandra District Hospital","Murray","","Small hospital","Public","<50","-37.195065","145.71614299999999"
"Alice Springs Hospital","08 8951 7777","6 Gap Road","Alice Springs","0870","NT","Central Australia (NT)","Northern Territory","www.health.nt.gov.au/Hospitals/Alice_Springs_Hospital/index.aspx","Large regional hospital with an emergency department","Public","100-199","-23.705757999999999","133.87806399999999"
"Allowah Presbyterian Children's Hospital","02 9858 4994","8 Perry Street","Dundas","2117","NSW","","","www.allowah.org.au","","Private","<50","-33.791786999999999","151.06387000000001"
"Alpha Hospital","07 4809 7000","1 Burns Street","Alpha","4724","Qld","Central West (Qld)","Western Queensland","http://www.centralwest.health.qld.gov.au/our-locations/alpha","Regional hospital","Public","<50","-23.649038999999998","146.63296199999999"
"Alpine Health [Bright]","03 5755 0100","36-42 Cobden Street","Bright","3741","Vic","Alpine Health (Vic)","Murray","www.alpinehealth.org.au","Small hospital","Public","<50","-36.732700999999999","146.965924"
"Alpine Health [Mount Beauty]","03 5754 3500","10 Hollonds Street","Mt Beauty","3699","Vic","Alpine Health (Vic)","Murray","www.alpinehealth.org.au","Regional hospital","Public","<50","-36.743353999999997","147.16935899999999"
"Alpine Health [Myrtleford]","03 5751 9300","30 O'Donnell Avenue","Myrtleford","3736","Vic","Alpine Health (Vic)","Murray","www.alpinehealth.org.au","Regional hospital","Public","<50","-36.554524999999998","146.72879499999999"
"Angaston District Hospital","08 8563 8500","29 North Street","Angaston","5353","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/angastonhospital","Small hospital","Public","<50","-34.503549","139.05471499999999"
"Angliss Hospital","1300 342 255","Albert Street","Upper Ferntree Gully","3156","Vic","Eastern Health (Vic)","Eastern Melbourne","https://www.easternhealth.org.au/locations/angliss-hospital/item/215","Medium metropolitan hospital with an emergency department","Public","100-199","-37.898662999999999","145.314166"
"Armadale-Kelmscott Memorial Hospital","08 9391 2000","3056 Albany Highway","Armadale","6112","WA","East Metropolitan Health Service (WA)","Perth South","www.health.wa.gov.au/services/detail.cfm?Unit_ID=6","Large metropolitan hospital with an emergency department","Public","200-500","-32.133212","116.02002299999999"
"Armidale Hospital","02 6776 9500","226 Rusden Street","Armidale","2350","NSW","Hunter New England","Hunter New England and Central Coast","","Medium regional hospital with an emergency department","Public","50-99","-30.512726000000001","151.655629"
"Armidale Private Hospital","02 6771 4000","Rusden Street","Armidale","2350","NSW","","","","","Private","<50","-30.512719000000001","151.65456499999999"
"Ashford Hospital","08 8375 5222","55 Anzac Highway","Ashford","5035","SA","","","www.ashfordhospital.org.au","","Private","200-500","-34.948141999999997","138.57672500000001"
"Atherton Hospital","07 4091 0211","Corner of Louise and Jack Streets","Atherton","4883","Qld","Cairns and Hinterland","Northern Queensland","www.health.qld.gov.au/services/cairns-hinterland/cairns_ath_hosp.asp","Small hospital","Public","50-99","-17.266635000000001","145.48317700000001"
"Attadale Rehabilitation Hospital","08 9330 1000","21 Hislop Road","Attadale","6156","WA","","","www.attadalerehabilitation.com.au","","Private","<50","-32.029729000000003","115.810669"
"Auburn Hospital","02 8759 3000","18-20 Hargrave Road","Auburn","2144","NSW","Western Sydney","Western Sydney","www.wslhd.health.nsw.gov.au/Auburn-Hospital","Medium metropolitan hospital with an emergency department","Public","100-199","-33.859867000000001","151.03320400000001"
"Augathella Hospital","07 4656 7100","Cavanagh Street","Augathella","4477","Qld","South West (Qld)","Western Queensland","www.health.qld.gov.au/services/southwest/swest_auga_hosp.asp","Regional hospital","Public","<50","-25.796104","146.59091900000001"
"Augusta Hospital","08 9758 3222","Donovan Street","Augusta","6290","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=10","Regional hospital","Public","<50","-34.305813999999998","115.157983"
"Austin Hospital [Heidelberg]","03 9496 5000","145 Studley Road","Heidelberg","3084","Vic","Austin Health (Vic)","Eastern Melbourne","www.austin.org.au","Major hospital with an emergency department","Public",">500","-37.756354999999999","145.060236"
"Ayr Hospital","07 4783 0855","2 Chippendale Street","Ayr","4807","Qld","Townsville","Northern Queensland","www.health.qld.gov.au/services/townsville/tville_ayr_hosp.asp","Small hospital","Public","<50","-19.564066","147.40882099999999"
"Babinda Hospital","07 4067 8200","128 Munro Street","Babinda","4861","Qld","Cairns and Hinterland","Northern Queensland","www.health.qld.gov.au/services/cairns-hinterland/cairns_babin_hosp.asp","Regional hospital","Public","<50","-17.343078999999999","145.91890799999999"
"Baillie Henderson Hospital","07 4699 8888","Corner of Hogg and Tor Streets","Toowoomba","4350","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-baillie-hosp.asp","Specialist psychiatric hospital","Public","100-199","-27.524370999999999","151.936283"
"Bairnsdale Regional Health Service","03 5150 3333","122 Day Street","Bairnsdale","3875","Vic","Bairnsdale Regional Health Service","Gippsland","","Small hospital with an emergency department","Public","100-199","-37.830813999999997","147.60790499999999"
"Balaklava Soldiers' Memorial District Hospital","08 8862 1400","16 War Memorial Drive","Balaklava","5461","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/balaklavahospital","Regional hospital","Public","<50","-34.139594000000002","138.41959600000001"
"Ballarat Day Procedure Centre","03 5338 2666","1119-1123 Howitt Street","Wendouree","3350","Vic","","","http://www.curagroup.com.au/ballarat-day-procedure-centre/","","Private","<50","-37.540799","143.83214000000001"
"Ballarat Health Services [Base Campus]","03 5320 4000","1 Dummond Street North","Ballarat Central","3350","Vic","Ballarat Health Services","Western Victoria","www.bhs.org.au","Large regional hospital with an emergency department","Public","200-500","-37.559657999999999","143.84704099999999"
"Ballarat Health Services [Queen Elizabeth Campus]","03 5320 3700","102 Ascot Street","Ballarat","3350","Vic","Ballarat Health Services","Western Victoria","www.bhs.org.au","Regional hospital","Public","50-99","-37.564276","143.843264"
"Ballina Day Surgery","02 6681 9999","Suite 6, 46 Tamar Street","Ballina","2478","NSW","","","","","Private","<50","-28.870711","153.563241"
"Ballina Hospital","02 6686 2111","78-92 Cherry Street","Ballina","2478","NSW","Northern NSW","North Coast","","Small hospital with an emergency department","Public","50-99","-28.863524999999999","153.56401299999999"
"Balmain Hospital","02 9395 2111","29 Booth Street","Balmain","2041","NSW","Sydney","Central and Eastern Sydney","www.sswahs.nsw.gov.au/balmain/default.html","Metropolitan hospital","Public","50-99","-33.859468999999997","151.18146899999999"
"Balranald Multi Purpose Service","03 5071 9800","41-43 Court Street","Balranald","2715","NSW","Far West","Western NSW","","Regional hospital with an emergency department","Public","<50","-34.644548999999998","143.56841299999999"
"Bamaga Hospital","07 4069 3166","Sagaukaz Street","Bamaga","4876","Qld","Torres and Cape","Northern Queensland","https://www.health.qld.gov.au/services/torres-cape/torres_bamaga_hosp","Regional hospital","Public","<50","-10.893996","142.385131"
"Bankstown Lidcombe Hospital","02 9722 8000","68 Eldridge Road","Bankstown","2200","NSW","South Western Sydney","South Western Sydney","https://www.swslhd.health.nsw.gov.au/bankstown/","Large metropolitan hospital with an emergency department","Public","200-500","-33.933087999999998","151.02082300000001"
