"Hospital","State","Peer group","Time period","Type of case","Proxy reporting","Cases","Patient days under surveillance","Rate per 10,000 patient days","","Peer group average"
"Albury Wodonga Health [Albury Campus]","NSW","Large hospitals","2010–11","Total","","0","42538","0","","1"
"Albury Wodonga Health [Albury Campus]","NSW","Large hospitals","2011–12","Total","","6","43064","1.39","","0.93"
"Albury Wodonga Health [Albury Campus]","NSW","Large hospitals","2012–13","Total","","5","43386","1.15","","0.97"
"Albury Wodonga Health [Albury Campus]","NSW","Large hospitals","2013–14","Total","","8","44071","1.82","","0.85"
"Albury Wodonga Health [Albury Campus]","NSW","Large hospitals","2014–15","Total","","7","50546","1.38","","0.80"
"Albury Wodonga Health [Albury Campus]","NSW","Large hospitals","2015–16","Total","","5","52268","0.96","","0.68"
"Albury Wodonga Health [Albury Campus]","NSW","Large hospitals","2016–17","Total","","5","53063","0.94","","0.73"
"Albury Wodonga Health [Albury Campus]","NSW","Large hospitals","2017–18","Total","","5","52672","0.95","","0.67"
"Albury Wodonga Health [Albury Campus]","NSW","Large hospitals","2016–17","MRSA","","1","53063","0.19","","0.14"
"Albury Wodonga Health [Albury Campus]","NSW","Large hospitals","2017–18","MRSA","","1","52672","0.19","","0.10"
"Albury Wodonga Health [Albury Campus]","NSW","Large hospitals","2016–17","MSSA","","4","53063","0.75","","0.60"
"Albury Wodonga Health [Albury Campus]","NSW","Large hospitals","2017–18","MSSA","","4","52672","0.76","","0.56"
"Armidale Hospital","NSW","Medium hospitals","2010–11","Total","","3","26348","1.14","","0.68"
"Armidale Hospital","NSW","Medium hospitals","2011–12","Total","","5","27683","1.81","","0.50"
"Armidale Hospital","NSW","Medium hospitals","2012–13","Total","","2","26738","0.75","","0.63"
"Armidale Hospital","NSW","Medium hospitals","2013–14","Total","","0","25367","0","","0.47"
"Armidale Hospital","NSW","Medium hospitals","2014–15","Total","","2","26039","0.77","","0.42"
"Armidale Hospital","NSW","Medium hospitals","2015–16","Total","","3","25692","1.17","","0.51"
"Armidale Hospital","NSW","Medium hospitals","2016–17","Total","","2","26681","0.75","","0.49"
"Armidale Hospital","NSW","Medium hospitals","2017–18","Total","","4","27527","1.45","","0.55"
"Armidale Hospital","NSW","Medium hospitals","2016–17","MRSA","","0","26681","0","","0.08"
"Armidale Hospital","NSW","Medium hospitals","2017–18","MRSA","","0","27527","0","","0.11"
"Armidale Hospital","NSW","Medium hospitals","2016–17","MSSA","","2","26681","0.75","","0.42"
"Armidale Hospital","NSW","Medium hospitals","2017–18","MSSA","","4","27527","1.45","","0.44"
"Auburn Hospital","NSW","Medium hospitals","2010–11","Total","","4","42875","0.93","","0.68"
