"Hospital","State","Local Hospital Network (LHN)","Peer group","Interval","Time period","Patient cohort","Number of surgeries","","Median waiting time (days)",".1","Peer group median (days)",".2","Percentage who waited more than 365 days for surgery",".3","Peer group average",".4"
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2011–12","S03 General surgery","283","","66","","30","","0","","0.005",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2012–13","S03 General surgery","339","","44","","29","","0.0030000000000000001","","0.0030000000000000001",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2013–14","S03 General surgery","431","","40","","31","","0.005","","0.0030000000000000001",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2014–15","S03 General surgery","335","","47","","30","","0","","0.0030000000000000001",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2015–16","S03 General surgery","341","","47","","31","","0","","0.0040000000000000001",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2016–17","S03 General surgery","272","","45","","Not peered","","0","","Not peered",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2017–18","S03 General surgery","307","","48","","Not peered","","0","","Not peered",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2011–12","S04 Gynaecology","200","","38","","22","","0","","0.001",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2012–13","S04 Gynaecology","188","","30","","24","","0.016","","0.002",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2013–14","S04 Gynaecology","238","","30","","26","","0.0080000000000000002","","0.0030000000000000001",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2014–15","S04 Gynaecology","211","","43","","24","","0","","0.001",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2015–16","S04 Gynaecology","210","","51","","23","","0.005","","0",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2016–17","S04 Gynaecology","207","","52","","Not peered","","0","","Not peered",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2017–18","S04 Gynaecology","245","","50","","Not peered","","0","","Not peered",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2011–12","S06 Ophthalmology","346","","100","","119","","0","","0.014",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2012–13","S06 Ophthalmology","300","","296","","165","","0","","0.050999999999999997",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2013–14","S06 Ophthalmology","298","","320","","179","","0.0030000000000000001","","0.04",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2014–15","S06 Ophthalmology","333","","290","","239","","0.0060000000000000001","","0.050999999999999997",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2015–16","S06 Ophthalmology","308","","328","","238","","0.0030000000000000001","","0.045999999999999999",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2016–17","S06 Ophthalmology","342","","283","","Not peered","","0","","Not peered",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2017–18","S06 Ophthalmology","296","","258","","Not peered","","0","","Not peered",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2011–12","S07 Orthopaedic surgery","281","","162","","76","","0.0070000000000000001","","0.043999999999999997",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2012–13","S07 Orthopaedic surgery","249","","90","","70","","0.04","","0.03",""
